epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,232.917,0.80984,1.54086,0.6555,1.21514,0.89287,0.88746,0.93213,0.76816,0.89965,0.89366,0.94224,0.75563,0.67379,1.2749,0.55497,1.13991,0.000816514,0.000816514,0.000816514
87,236.098,0.82239,1.40145,0.61034,1.2416,0.85592,0.89776,0.92297,0.74176,0.86205,0.90419,0.92733,0.74084,0.69437,1.28482,0.57454,1.16545,0.000812468,0.000812468,0.000812468
88,238.964,0.7909,1.39933,0.62305,1.22302,0.85226,0.88103,0.9177,0.72804,0.86966,0.87964,0.92362,0.7166,0.71655,1.3475,0.60075,1.17856,0.000808389,0.000808389,0.000808389
89,241.647,0.82546,1.49483,0.62809,1.2397,0.88952,0.85852,0.92347,0.74518,0.9012,0.85531,0.92698,0.73959,0.71355,1.2633,0.58151,1.15539,0.000804277,0.000804277,0.000804277
90,244.403,0.8172,1.41384,0.61322,1.21651,0.87442,0.8732,0.92541,0.75418,0.89052,0.88928,0.93952,0.75133,0.7249,1.26621,0.58331,1.15621,0.000800131,0.000800131,0.000800131
91,246.457,0.79296,1.48461,0.62491,1.20503,0.852,0.88746,0.92272,0.7543,0.85869,0.90032,0.93704,0.74151,0.7159,1.32781,0.62147,1.16163,0.000795954,0.000795954,0.000795954
92,249.148,0.79336,1.43325,0.62043,1.19262,0.85268,0.87473,0.91851,0.75621,0.85377,0.9011,0.93195,0.73773,0.68004,1.31171,0.62602,1.14884,0.000791744,0.000791744,0.000791744
93,251.909,0.75993,1.26856,0.6087,1.19655,0.84995,0.89248,0.92187,0.7699,0.85301,0.89569,0.93041,0.73938,0.6631,1.288,0.59047,1.13334,0.000787503,0.000787503,0.000787503
94,254.555,0.85704,1.50547,0.65553,1.26752,0.87182,0.87481,0.92386,0.76215,0.88144,0.88446,0.93689,0.7381,0.69031,1.31386,0.56501,1.13703,0.000783231,0.000783231,0.000783231
95,257.324,0.71943,1.22296,0.5592,1.15707,0.88764,0.86369,0.92313,0.75855,0.89894,0.87138,0.94039,0.73765,0.6819,1.28679,0.56907,1.12331,0.000778929,0.000778929,0.000778929
96,260.289,0.79024,1.53471,0.62432,1.2093,0.88321,0.85107,0.92251,0.76677,0.88638,0.87138,0.93553,0.73141,0.64218,1.32508,0.56913,1.10584,0.000774596,0.000774596,0.000774596
97,262.954,0.74086,1.26082,0.53865,1.17018,0.89105,0.85852,0.92415,0.76689,0.88442,0.88577,0.93559,0.74989,0.63778,1.23254,0.57243,1.10524,0.000770234,0.000770234,0.000770234
98,265.819,0.77662,1.36338,0.58495,1.20977,0.86812,0.89068,0.92795,0.77012,0.86872,0.89389,0.93107,0.75754,0.66243,1.19446,0.5673,1.13327,0.000765843,0.000765843,0.000765843
99,268.769,0.77534,1.44546,0.57637,1.18186,0.86544,0.86174,0.92159,0.75948,0.87561,0.87138,0.92952,0.73957,0.70498,1.2608,0.57159,1.15767,0.000761423,0.000761423,0.000761423
100,271.37,0.79014,1.34504,0.60677,1.2199,0.85069,0.86105,0.91395,0.75259,0.86022,0.87069,0.92576,0.72694,0.68284,1.28959,0.58754,1.13718,0.000756976,0.000756976,0.000756976
101,273.917,0.77878,1.45053,0.59544,1.19251,0.87258,0.86174,0.92473,0.77493,0.88235,0.87138,0.93546,0.75058,0.64633,1.20276,0.56219,1.11275,0.0007525,0.0007525,0.0007525
102,276.964,0.75848,1.31326,0.58442,1.17822,0.8716,0.90032,0.93269,0.78785,0.88418,0.91318,0.94613,0.77729,0.63893,1.10041,0.53941,1.11016,0.000747997,0.000747997,0.000747997
